epoch,train_loss,val_loss,val_f1,val_f2,val_precision,val_recall
0,1.1320252291757058,0.9385083835652528,0.10915691271504817,0.09193290812646773,0.22924840654881165,0.0855752419430309
1,0.8544216174885159,0.8883836205468107,0.21600073931762043,0.21242933550826248,0.29988315147194117,0.22386149986010295
2,0.8287748424715586,0.8378691181320108,0.295030180240353,0.36536183777986786,0.2438000233823924,0.48200985122116047
3,0.7989573386999277,0.8117121151215116,0.3048789241405223,0.33439257668396954,0.31056271450153305,0.38594392090675606
4,0.7713966124198016,0.8045898075973079,0.3139297890999228,0.33806176951517425,0.3160321346520678,0.37667704483470854
5,0.7466748154540946,0.7403866029063725,0.35580351440271996,0.42091274446573645,0.3118134652944102,0.5151464487886876
6,0.7271463717270761,0.7236221648320403,0.3520244783568233,0.4598945815537858,0.2667020867606233,0.6212105344296502
7,0.7137530176348277,0.7075729269080873,0.3731709248179716,0.43868574857249837,0.3241472328280388,0.5237915426645262
8,0.6996983705063211,0.7278528719869218,0.3421088241155135,0.471052504104347,0.24373654362536856,0.6784218194183551
9,0.6855251945521497,0.6796778430982119,0.38486472162734864,0.47084101150501034,0.3140440263647154,0.5831101195467159
10,0.6763630358342132,0.6670627673500905,0.39571991422562197,0.4897331885953219,0.32045723764947376,0.618354842728968
11,0.660759476514963,0.6832585873355638,0.37384234648091935,0.4990744874341174,0.27477065961706254,0.6872294436805416
12,0.6567894371386567,0.693131268041397,0.35311277339868546,0.5103388368401071,0.2401520996290949,0.7919641507130468
13,0.6444414460281441,0.6362242473880586,0.41232696087316817,0.5162544072085443,0.3268152687095203,0.6587361365830074
14,0.6377632690770594,0.7015162524984423,0.3459917779999178,0.51393062806666,0.2299235516764961,0.8361553297006229
15,0.6262605872628916,0.6271052672967433,0.4067303600627823,0.5257132247120007,0.30866439733150985,0.6910295821662751
16,0.6218783895893873,0.6223798421666077,0.4162337959339298,0.5298937385598784,0.319905920140922,0.6843607476536308
17,0.6118915126873896,0.6128393896983616,0.4336907616170151,0.52270683655314,0.35950059727956335,0.6357645649246795
18,0.6056345115959375,0.5885863164111345,0.4289006202267663,0.5516065180437285,0.32577923546779364,0.7196235665479364
19,0.5973211653631737,0.616653946615052,0.39721148525734473,0.5487281611598223,0.2817620288239489,0.7939472963336317
20,0.5929027213230392,0.6138014161410457,0.39977886756051406,0.5481189495276774,0.28438905338212145,0.7790254859488979
21,0.5859185215844288,0.6017089106727379,0.4010594737158709,0.558468846896657,0.28152925252784106,0.8164674939611022
22,0.577381597789704,0.5963788435320805,0.4559979593228714,0.5211975671355195,0.40436528080547773,0.5980120449866231
23,0.5690522346291607,0.5960009689776564,0.4695674731121722,0.5421810837418044,0.410491297401348,0.6286480799995456
24,0.5636250135316029,0.5633578162568286,0.4378138171361634,0.5713620994937213,0.3248531696915338,0.7528465680864908
25,0.5547779267190268,0.5716217477150066,0.44022319402886856,0.5680083729256796,0.3325406586697306,0.746576691254024
